component;property;de;en;mn;Dev-status
BasiGX.view.button.Permalink;config.data.windowTitle;Link zur Anwendung;Link to application;Програмтай холбох; -
BasiGX.view.button.ToggleLegend;config.data.tooltip;Layerauswahl;Show legend;Түүх үзүүлэх; -
BasiGX.view.button.ToggleLegend;config.data.text;;;; -
BasiGX.view.button.ZoomIn;config.data.tooltip;Hineinzoomen;Zoom in;Томруулах; -
BasiGX.view.button.ZoomIn;config.data.text;;;; -
BasiGX.view.button.ZoomOut;config.data.tooltip;Herauszoomen;Zoom out;Багасгах; -
BasiGX.view.button.ZoomOut;config.data.text;;;; -
BasiGX.view.button.ZoomToExtent;config.data.tooltip;Auf Gesamtansicht zoomen;Zoom to maximum extent;Хамгийн дээд хэмжээнд нь хүртэл томруулах; -
BasiGX.view.button.ZoomToExtent;config.data.text;;;; -
BasiGX.view.combo.Language;config.data.fieldLabel;;;; -
BasiGX.view.combo.ScaleCombo;config.data.fieldLabel;;;; -
BasiGX.view.container.LayerSlider;config.data.disabeldLabelHtml;Aus;Off;Унтраах; -
BasiGX.view.container.NominatimSearch;config.data.searchTermTextFieldLabel;Suchbegriff;Search term;Хайлтын нэр томьёо; -
BasiGX.view.container.NominatimSearch;config.data.searchResultGridTitle;Suchergebnisse;Search results;Хайлтын үр дүн; -
BasiGX.view.container.NominatimSearch;config.data.resetBtnText;Zurücksetzen;Reset;Дахин эхлүүлэх; -
BasiGX.view.container.OverpassSearch;config.data.searchTermTextFieldLabel;Suchbegriff;Search term;Хайлтын нэр томьёо; -
BasiGX.view.container.OverpassSearch;config.data.searchCriteriaGridTitle;Suchkategorien;Search criteria;Хайлтын шалгуур; -
BasiGX.view.container.OverpassSearch;config.data.searchCriteriaLabelTag;OSM-Tag;OSM-Tag;OSM тэмдэглэгээ; -
BasiGX.view.container.OverpassSearch;config.data.searchCriteriaCategoryTag;Kategorie;Category;Ангилал; -
BasiGX.view.container.OverpassSearch;config.data.searchCriteriaOccurenceTag;Tag-Häufigkeit;Tag-occurence;Тэмдэглэгээний илрэл; -
BasiGX.view.container.OverpassSearch;config.data.searchResultGridTitle;Suchergebnisse;Search results;Хайлтын үр дүн; -
BasiGX.view.container.OverpassSearch;config.data.resetBtnText;Zurücksetzen;Reset;Дахин эхлүүлэх; -
BasiGX.view.container.OverpassSearch;config.data.noMatchesFoundErrText;Keine passenden Einträge gefunden;No matches found;Холбогдох мэдээлэл олдсонгүй ; -
BasiGX.view.container.RedlineStyler;config.data.pointStyleFieldSetTitle;Punktstil;Point Style;Цэгийн хэв маяг; -
BasiGX.view.container.RedlineStyler;config.data.pointStyleSymbolPanelTitle;Symbol;Symbol;Тэмдэг  ; -
BasiGX.view.container.RedlineStyler;config.data.pointStyleRadiusNumberFieldLabel;Punktradius;Point Radius;Цэгийн радиус; -
BasiGX.view.container.RedlineStyler;config.data.pointStyleStrokeNumberFieldLabel;Strichstärke;Stroke Width;Зураасны өргөн; -
BasiGX.view.container.RedlineStyler;config.data.pointStyleStrokeColorFieldLabel;Strichfarbe;Stroke Color;Зураасны өнгө; -
BasiGX.view.container.RedlineStyler;config.data.pointStyleFillColorFieldLabel;Füllfarbe;Fill Color;Өнгөөр дүүргэх; -
BasiGX.view.container.RedlineStyler;config.data.pointStyleGraphicPanelTitle;Grafik;Graphic;График; -
BasiGX.view.container.RedlineStyler;config.data.pointStyleChooseImgBtnText;Grafik auswählen;Choose Image;Зураг сонгох; -
BasiGX.view.container.RedlineStyler;config.data.pointStyleImgOffsetXSliderLabel;X-Versatz;Graphic Offset X;Х График офсет; -
BasiGX.view.container.RedlineStyler;config.data.pointStyleImgOffsetYSliderLabel;Y-Versatz;Graphic Offset Y;Ү График офсет; -
BasiGX.view.container.RedlineStyler;config.data.pointStyleImgScaleSliderLabel;Skalierung;Scale;Хуваарь; -
BasiGX.view.container.RedlineStyler;config.data.lineStyleFieldSetTitle;Linienstil;LineString Style;Шугаман мөрний хэв маяг; -
BasiGX.view.container.RedlineStyler;config.data.lineStyleStrokeNumberFieldLabel;Strichstärke;Stroke Width;Зураасны өргөн; -
BasiGX.view.container.RedlineStyler;config.data.lineStyleStrokeColorFieldLabel;Strichfarbe;Stroke Color;Зураасны өнгө; -
BasiGX.view.container.RedlineStyler;config.data.polygonStyleFieldSetTitle;Flächenstil;Polygon Style;Олон өнцөгтийн хэв маяг; -
BasiGX.view.container.RedlineStyler;config.data.polygonStyleStrokeNumberFieldLabel;Strichstärke;Stroke Width;Зураасны өргөн; -
BasiGX.view.container.RedlineStyler;config.data.polygonStyleStrokeColorFieldLabel;Strichfarbe;Stroke Color;Зураасны өнгө; -
BasiGX.view.container.RedlineStyler;config.data.polygonStyleFillColorFieldLabel;Füllfarbe;Fill Color;Өнгөөр дүүргэх; -
BasiGX.view.container.RedlineStyler;config.data.pointGrapicDeletedSuccessMsgText;Die Grafik wurden entfernt. Bitte wählen Sie eine neue aus.;The icon has been deleted. Please reassign a new one.;Дүрс устгагдсан. Шинэ тэмдэг өгнө үү. ; -
BasiGX.view.container.RedlineStyler;config.data.pointGrapicDeletedSuccessMsgTitle;Löschen erfolgreich;Deletion succesfull;Устгал амжилттай; -
BasiGX.view.container.RedlineStyler;config.data.graphicPoolWindowTitle;Grafikpool;Graphic Pool;Графикийн сан; -
BasiGX.view.container.Redlining;config.data.drawPointsBtnText;Zeichne Punkte;Draw Points;Цэг зурах; -
BasiGX.view.container.Redlining;config.data.drawLinesBtnText;Zeichne Linien;Draw Lines;Зураас зурах; -
BasiGX.view.container.Redlining;config.data.drawPolygonsBtnText;Zeichne Flächen;Draw Polygons;Олон өнцөгт зурах; -
BasiGX.view.container.Redlining;config.data.drawPostItBtnText;Zeichne Post-It;Draw Post-it;Наадаг цаасан дээр зурах; -
BasiGX.view.container.Redlining;config.data.copyObjectBtnText;Kopiere Objekt;Copy Object;Обьектыг хуулах; -
BasiGX.view.container.Redlining;config.data.moveObjectBtnText;Verschiebe Objekt;Move Object;Обьектыг хөдөлгөх; -
BasiGX.view.container.Redlining;config.data.modifyObjectBtnText;Modifiziere Objekt;Modify Object;Обьектыг өөрчлөх; -
BasiGX.view.container.Redlining;config.data.deleteObjectBtnText;Entferne Objekt;Delete Object;Обьектыг устгах; -
BasiGX.view.container.Redlining;config.data.openStyleBtnText;Styler;Styler;Хэв маяг оруулагч; -
BasiGX.view.container.Redlining;config.data.stylerWindowTitle;Styler;Styler;Хэв маяг оруулагч; -
BasiGX.view.container.Redlining;config.data.postItWindowTitle;Post-It Text;Enter the Post-its text;Наадаг цаасан дээр бичсэн текстийг оруулах; -
BasiGX.view.container.Redlining;config.data.postItWindowCreatePostItBtnText;Erstelle Post-It;Create Post-it;Наадаг цаасан дээр текст бичих; -
BasiGX.view.container.WfsSearch;config.data.searchTermTextFieldLabel;Suchbegriff;Search term;Хайлтын нэр томьёо; -
BasiGX.view.container.WfsSearch;config.data.searchResultGridTitle;Suchergebnisse;Search results;Хайлтын үр дүн; -
BasiGX.view.container.WfsSearch;config.data.resetBtnText;Zurücksetzen;Reset;Дахин эхлүүлэх; -
BasiGX.view.form.AddWms;config.data.queryParamsFieldSetTitle;Anfrageparameter;Query parameters;Хайлтын хэмжигч параметрүүд; -
BasiGX.view.form.AddWms;config.data.wmsUrlTextFieldLabel;WMS-URL;WMS-URL;WMS-URL; -
BasiGX.view.form.AddWms;config.data.wmsVersionContainerFieldLabel;Version;Version;Хувилбар; -
BasiGX.view.form.AddWms;config.data.availableLayesFieldSetTitle;Verfügbare Layer;Available layers;Байгаа давхаргууд ; -
BasiGX.view.form.AddWms;config.data.resetBtnText;Zurücksetzen;Reset;Дахин эхлүүлэх; -
BasiGX.view.form.AddWms;config.data.requestLayersBtnText;Verfügbare Layer abfragen;Request available layers;Байгаа давхаргуудыг гаргаж ирэх; -
BasiGX.view.form.AddWms;config.data.addCheckedLayersBtnText;Ausgewählte Layer hinzufügen;Add selected layers;Сонгосон давхаргуудыг нэмэх; -
BasiGX.view.form.AddWms;config.data.errorIncompatibleWMS;Der angefragte WMS ist nicht kompatibel zur Anwendung;The requested WMS is not compatible with this application;Гаргаж ирсэн WMS нь уг програмтай нийцэхгүй байна; -
BasiGX.view.form.AddWms;config.data.errorRequestFailed;Die angegebene URL konte nicht abgefragt werden;Could not reach the desired location;Хүссэн байршилд хүрч чадсангүй; -
BasiGX.view.form.AddWms;config.data.errorCouldntParseResponse;Die erhaltene Antwort konnte nicht erfolgreich geparst werden;Error while reading the response send by the server;Серверээс илгээсэн хариуг уншиж байхад алдаа гарсан; -
BasiGX.view.form.CoordinateTransform;config.data.coordFieldSetTitle;Koordinaten;Coordinates;Координатууд; -
BasiGX.view.form.CoordinateTransform;config.data.coordXFieldLabel;X-Koordinate;X-Coordinate;Х-координат; -
BasiGX.view.form.CoordinateTransform;config.data.coordYFieldLabel;Y-Koordinate;Y-Coordinate;Ү-координат; -
BasiGX.view.form.CoordinateTransform;config.data.transformBtnText;Transformieren;Transform;Шилжүүлэх; -
BasiGX.view.form.CoordinateTransform;config.data.resetFormBtnText;Zurücksetzen;Reset;Дахин эхлүүлэх; -
BasiGX.view.form.Permalink;config.data.refreshBtnText;Erneuern;Refresh;Сэргээх; -
BasiGX.view.form.Print;config.data.title;Drucken;Print;Хэвлэх; -
BasiGX.view.form.Print;config.data.labelDpi;DPI;DPI;DPI; -
BasiGX.view.form.Print;config.data.printButtonSuffix;anfordern;request;Хүсэлт; -
BasiGX.view.form.Print;config.data.downloadButtonPrefix;Download;Download;Суулгах; -
BasiGX.view.form.Print;config.data.printFormat;pdf;pdf;pdf; -
BasiGX.view.form.Print;config.data.genericFieldSetTitle;Einstellungen;Settings;Тохиргоо; -
BasiGX.view.panel.GraphicPool;config.data.delButtonText;Löschen;Delete;Устгах; -
BasiGX.view.panel.GraphicPool;config.data.okBtnText;OK;Ok;Ок; -
BasiGX.view.panel.GraphicPool;config.data.msgBoxNoElementSelectedText;Keine Grafik ausgewählt;No image selected;Зураг сонгогдоогүй; -
BasiGX.view.panel.GraphicPool;config.data.closeBtnText;Schließen;Close;Хаах; -
BasiGX.view.panel.GraphicPool;config.data.chooseImageBtnText;Auswählen;Choose;Сонгох; -
BasiGX.view.panel.GraphicPool;config.data.uploadBtnText;Hochladen;Upload;Оруулах; -
BasiGX.view.panel.GraphicPool;config.data.uploadWaitMsg;Bitte warten...;Please wait...;Түр хүлээнэ үү...; -
BasiGX.view.panel.GraphicPool;config.data.uploadErrorText;Fehler beim Hochladen;Error on upload check file type and size;Оруулахад алдаа гарлаа, файлын хэлбэр ба хэмжээг шалгана уу; -
BasiGX.view.panel.GraphicPool;config.data.msgConfirmDeletionTpl;Möchten Sie die ausgewählte Grafik wirklich löschen?;Do you really want to delete this picture?;Та үнэхээр энэ зургийг устгамаар байна уу; -
BasiGX.view.panel.GraphicPool;config.data.graphicDeleteInfoSuccess;Grafik erfolgreich entfernt;Image successfully deleted;Зураг устгах амжилттай устгагсдан; -
BasiGX.view.panel.GraphicPool;config.data.graphicDeleteInfoError;Fehler beim Entfernen der Grafik;Image deletion failed;Зураг устгах амжилтгүй болсон; -
BasiGX.view.panel.GraphicPool;config.data.msgDeletionCancelled;Entfernen abgebrochen;Deletion cancelled.;Устгал цуцлагдсан; -
BasiGX.view.panel.LayerSetChooser;config.data.title;Themen Auswahl;Themes;Сэдвүүд; -
BasiGX.view.panel.LayerSetChooser;config.data.filterFieldLabel;Filter;Filter;Шүүх; -
BasiGX.view.panel.MapContainer;config.data.titleLegendPanel;Legende;Legend;Түүх; -
BasiGX.view.panel.Menu;config.data.closedMenuTitle;Menu schließen;Close menu;Цэс хаах; -
BasiGX.view.panel.Menu;config.data.openedMenuTitle;Menu anzeigen;Show menu;Цэс үзүүлэх; -
BasiGX.view.view.GraphicPool;config.data.emptyStoreMsg;Keine Daten gefunden;No data found;Өгөгдөл олдоогүй; -
Ext.Date;monthNames[];Januar,Februar,März,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember;January,February,March,April,May,June,July,August,September,October,November,December;Нэг,Хоёр,Гурав,Дөрөв,Тав,Зургаа,Долоо,Найм,Ес,Арав,Арван нэг,Арван хоёрдугаар сар; -
Ext.Date;defaultFormat;d.m.Y;m/d/Y;m/d/Y; -
Ext.Date;monthNumbers.Jan;0;0;0; -
Ext.Date;monthNumbers.Feb;1;1;1; -
Ext.Date;monthNumbers.Mar;2;2;2; -
Ext.Date;monthNumbers.Apr;3;3;3; -
Ext.Date;monthNumbers.Mai;4;4;4; -
Ext.Date;monthNumbers.Jun;5;5;5; -
Ext.Date;monthNumbers.Jul;6;6;6; -
Ext.Date;monthNumbers.Aug;7;7;7; -
Ext.Date;monthNumbers.Sep;8;8;8; -
Ext.Date;monthNumbers.Okt;9;9;9; -
Ext.Date;monthNumbers.Nov;10;10;10; -
Ext.Date;monthNumbers.Dez;11;11;11; -
Ext.Date;dayNames[];Sonntag;Montag;Даваа гариг;Mittwoch;Donnerstag;Freitag;Samstag;Ням;Даваа;Мягмар;Лхагва;Пүрэв;Баасан;Хагас сайн;х;а;р;а;а;х;а; -;;;;;;;;;;;;;;;
Ext.form.Basic;waitTitle;Bitte warten...;Please Wait...;Та хүлээнэ үү...; -
Ext.form.CheckboxGroupExt.form.CheckboxGroup;blankText;Du musst mehr als einen Eintrag aus der Gruppe auswählen;You must select at least one item in this group;Та энэ бүлэг дотор хамгийн багадаа нэг зүйл сонгоно уу; -
Ext.form.field.Base;invalidText;Der Wert des Feldes ist nicht korrekt;The value in this field is invalid;Энэ хэсгийн утга буруу байна; -
Ext.form.field.ComboBox;valueNotFoundText;;;; -
Ext.form.field.ComboBox;defaultListConfig.loadingText;Lade Daten ...;Loading...;Ачаалж байна; -
Ext.form.field.Date;disabledDaysText;nicht erlaubt;Disabled;Хүчингүй болгосон; -
Ext.form.field.Date;disabledDatesText;nicht erlaubt;Disabled;Хүчингүй болгосон; -
Ext.form.field.Date;minText;Das Datum in diesem Feld muss nach dem {0} liegen;The date in this field must be after {0};Энэ хэсгийн огноо {0} дараа байна; -
Ext.form.field.Date;maxText;Das Datum in diesem Feld muss vor dem {0} liegen;The date in this field must be before {0};Энэ хэсгийн огноо {0} өмнө байна; -
Ext.form.field.Date;invalidText;{0} ist kein gültiges Datum - es muss im Format {1} eingegeben werden;{0} is not a valid date - it must be in the format {1};{0} бол зөв огноо биш - энэ нь {1} форматанд байх ёстой; -
Ext.form.field.Date;format;d.m.Y;m/d/y;m/d/y; -
Ext.form.field.Date;altFormats;j.n.Y|j.n.y|j.n.|j.|j/n/Y|j/n/y|j-n-y|j-n-Y|j/n|j-n|dm|dmy|dmY|j|Y-n-j|Y-m-d;m/d/Y|m-d-y|m-d-Y|m/d|m-d|md|mdy|mdY|d|Y-m-d;m/d/Y|m-d-y|m-d-Y|m/d|m-d|md|mdy|mdY|d|Y-m-d; -
Ext.form.field.Date;startDay;1;1;1; -
Ext.form.field.HtmlEditor;createLinkText;Bitte geben Sie die URL für den Link ein:;Please enter the URL for the link:;Энэ холбоосны URL -ийг оруулна уу; -
Ext.form.field.HtmlEditor;buttonTips.bold.title;Fett (Ctrl+B);Bold (Ctrl+B);Текстийг тодруулах; -
Ext.form.field.Number;minText;Der Mindestwert für dieses Feld ist {0};The minimum value for this field is {0};Энэ хэсгийн хамгийн бага утга нь {0} ; -
Ext.form.field.Number;maxText;Der Maximalwert für dieses Feld ist {0};The maximum value for this field is {0};Энэ хэсгийн хамгийн их утга нь {0} ; -
Ext.form.field.Number;nanText;{0} ist keine Zahl;{0} is not a valid number;{0} бол зөв тоо биш; -
Ext.form.field.Text;minLengthText;Bitte geben Sie mindestens {0} Zeichen ein;The minimum length for this field is {0};Энэ хэсгийн хамгийн бага урт бол {0} ; -
Ext.form.field.Text;maxLengthText;Bitte geben Sie maximal {0} Zeichen ein;The maximum length for this field is {0};Энэ хэсгийн хамгийн их урт бол {0} ; -
Ext.form.field.Text;blankText;Dieses Feld darf nicht leer sein;This field is required;Энэ хэсэг шаардлагатай; -
Ext.form.field.Text;regexText;;;; -
Ext.form.field.Text;emptyText;;;; -
Ext.form.field.Time;maxText;Die Zeit muss gleich oder vor {0} liegen;The time in this field must be equal to or before {0};Энэ хэсгийн хугацаа нь {0} -тэй тэнцүү эсвэл {0} -ий өмнө байна; -
Ext.form.field.Time;invalidText;{0} ist keine gültige Zeit;{0} is not a valid time; {0} бол зөв хугацаа биш; -
Ext.form.field.Time;format;H:i;g:i A;g:i A; -
Ext.form.field.TimeExt.form.field.Time;minText;Die Zeit muss gleich oder nach {0} liegen;The time in this field must be equal to or after {0};Энэ хэсгийн хугацаа нь {0} -тэй тэнцүү эсвэл {0} -ий дараа байна; -
Ext.form.field.VTypes;alphaText;Dieses Feld darf nur Buchstaben enthalten und _;This field should only contain letters and _;Энэ хэсэг зөвхөн үсэг мөн _ агуулна; -
Ext.form.field.VTypes;alphanumText;Dieses Feld darf nur Buchstaben und Zahlen enthalten und _;This field should only contain letters numbers and _;Энэ хэсэг зөвхөн үсэг мөн тоо агуулна; -
Ext.form.field.VTypes;emailText;Dieses Feld sollte eine E-Mail-Adresse enthalten. Format: 'user@example.com';This field should be an e-mail address in the format 'user@example.com';Энэ хэсэг зөвхөн 'user@example.com' гэсэн форматтай цахим шуудангийн хаяг байна; -
Ext.form.field.VTypes;urlText;Dieses Feld sollte eine URL enthalten. Format: http:'www.example.com';This field should be a URL in the format 'http://www.example.com';Энэ хэсэг нь  'http://www.example.com' форматтай URL байна; -
Ext.form.RadioGroupExt.form.RadioGroup;blankText;Du musst einen Eintrag aus der Gruppe auswählen;You must select one item in this group;Та энэ бүлэг дотор  нэг зүйл сонгоно уу; -
Ext.grid.BooleanColumn;falseText;FALSCH;false;Буруу; -
Ext.grid.BooleanColumnExt.grid.BooleanColumn;trueText;wahr;true;Үнэн; -
Ext.grid.DateColumnExt.grid.DateColumn;format;d.m.Y;m/d/Y;m/d/Y; -
Ext.grid.header.Container;sortDescText;Absteigend sortieren;Sort Descending;Бууруулах байдлаар шүүх; -
Ext.grid.header.Container;sortClearText;Sortierung entfernen;Remove Sorting;Шүүхгүй болгох; -
Ext.grid.header.Container;columnsText;Spalten;Columns;Баганууд; -
Ext.grid.header.ContainerExt.grid.header.Container;sortAscText;Aufsteigend sortieren;Sort Ascending;Өсөх байдлаар шүүх; -
Ext.grid.NumberColumnExt.grid.NumberColumn;format;0.000,00/i;0.000,00/i;0.000,00/i; -
Ext.grid.plugin.DragDrop;dragText;0} Zeile(n) ausgewählt;{0} selected row{1};{0} сонгосон эгнээ; -
Ext.grid.PropertyColumnModel;valueText;Wert;Value;Утга; -
Ext.grid.PropertyColumnModel;dateFormat;d.m.Y;m/j/Y;Сар/Өдөр/Он; -
Ext.grid.PropertyColumnModel;trueText;wahr;true;Үнэн; -
Ext.grid.PropertyColumnModel;falseText;FALSCH;false;Буруу; -
Ext.grid.PropertyColumnModelExt.grid.PropertyColumnModel;nameText;Name;Name;Нэр; -
Ext.LoadMask;msg;Lade Daten...;Loading...;Ачаалж байна; -
Ext.grid.Panel;collapsible;Einklappen;Collapse panel;Самбарыг унагах; -
Ext.grid.Panel;collapsibleText;Einklappen;Collapse panel;Самбарыг унагах; -
Ext.picker.Date;minText;Dieses Datum liegt von dem erstmöglichen Datum;This date is before the minimum date;Энэ өдөр бол хамгийн бага хугацаанаас өмнө; -
Ext.picker.Date;maxText;Dieses Datum liegt nach dem letztmöglichen Datum;This date is after the maximum date;Энэ өдөр бол хамгийн их хугацааны дараа; -
Ext.picker.Date;disabledDaysText;;;; -
Ext.picker.Date;disabledDatesText;;;; -
Ext.picker.Date;nextText;Nächster Monat (Strg/Control + Rechts);Next Month (Control+Right);Дараагийн сар (Хянах+Баруун); -
Ext.picker.Date;prevText;Vorheriger Monat (Strg/Control + Links);Previous Month (Control+Left);Өмнөх сар (Хянах+Зүүн); -
Ext.picker.Date;monthYearText;Monat auswählen (Strg/Control + Hoch/Runter; um ein Jahr auszuwählen);Choose a month (Control+Up/Down to move years);Сараа сонгох (Хянах+жилийг хөдөлгөхийн тулд дээд/доод); -;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ext.picker.Date;todayTip;Heute ({0}) (Leertaste);{0} (Spacebar);{0} зай авах; -
Ext.picker.Date;format;d.m.Y;m/d/y;m/d/y; -
Ext.picker.Date;startDay;1;1;1; -
Ext.picker.Date;todayText; Heute;Today;Өнөөдөр; -
Ext.picker.Month;okText;Ok;OK;ОК; -
Ext.picker.Month;cancelText;Abbrechen;Cancel;Цуцлах; -
Ext.tab.Tab;closeText;Diesen Tab schließen;Close this Tab;Энэ хэсгийг хаах; -
Ext.toolbar.Paging;beforePageText;Seite;Page;Хуудас; -
Ext.toolbar.Paging;afterPageText;von {0};of {0};{0} -ны ; -
Ext.toolbar.Paging;firstText;Erste Seite;First Page;Эхний хуудас; -
Ext.toolbar.Paging;prevText;vorherige Seite;Previous Page;Өмнөх хуудас; -
Ext.toolbar.Paging;nextText;nächste Seite;Next Page;Дараагийн хуудас; -
Ext.toolbar.Paging;lastText;letzte Seite;Last Page;Сүүлийн хуудас; -
Ext.toolbar.Paging;refreshText;Aktualisieren;Refresh;Шинэчлэх ; -
Ext.toolbar.Paging;displayMsg;Anzeige Eintrag {0} - {1} von {2};Displaying {0} - {1} of {2};Дэлгэцэн дээр үзүүлж байна {0} - {1} of {2}; -
Ext.toolbar.Paging;emptyMsg;Keine Daten vorhanden;No data to display;Үзүүлэх өгөгдөл байхгүй; -
Ext.util.Format;thousandSeparator;.;.;.; -
Ext.util.Format;decimalSeparator;,;,;,; -
Ext.util.Format;currencySign;€;$;₮; -
Ext.util.Format;dateFormat;d.m.Y;m/d/Y;m/d/Y; -
Ext.view.AbstractView;loadingText;Lade Daten...;хараахан орчуулагдаагүй;Ачаалж байна; -
Ext.view.View;emptyText;;;; -
Ext.window.MessageBox;buttonText.ok;Ok;OK;OK; -
Ext.window.MessageBox;buttonText.cancel;Abbrechen;Cancel;Цуцлах; -
Ext.window.MessageBox;buttonText.yes;Ja;Yes;Тийм; -
Ext.window.MessageBox;buttonText.no;Nein;No;Үгүй; -
Ext.window.Window;closeToolText;Fenster schließen;close window;Цонхыг хаах; -
